// Mob Availability and Alias Database
//
// Structure of Database:
// MobID,SpriteID{,Equipment}
//
// 01. MobID        Mob ID to change.
// 02. SpriteID     Mob ID which will be sent to the client instead of MobID.
//                  If 0, the mob becomes unavailable for use.
// 03. Equipment    Item ID of pet equipment (must be available for pet counterpart, or this will cause problems).
//
// To disguise a mob as a player:
// MobID,SpriteID,Sex,Hair_Style,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
//
// SpriteID is a job class value.
// Weapon and Shield uses Item ID, while Head uses View ID.

//道场
3500,1038
3501,1039
3502,1046
3503,1059
3504,1086
3505,1087
3506,1112
3507,1115
3508,1147
3509,1150
3510,1157
3511,1159
3512,1190
3513,1272
3514,1312
3515,1373
3516,1389
3517,1418
3518,1492
//初级
3520,1038
3521,1039
3522,1046
3523,1059
3524,1086
3525,1112
3526,1115
3527,1120
3528,1147
3529,1150
3530,1157
3531,1159
3532,1190
3533,1251
3534,1252
3535,1272
3536,1312
3537,1373
3538,1096
3539,1389
3540,1418
3541,1492
3542,1511
3543,1583
3544,1623
3545,1688
3546,1719
3547,1871
3548,1751
3549,1582
3550,1087
3551,1685
3552,1388
3553,1518
3554,1785
3555,1658
//中级
3590,1038
3591,1039
3592,1046
3593,1059
3594,1086
3595,1112
3596,1115
3597,1120
3598,1147
3599,1150
3600,1157
3601,1159
3602,1190
3603,1251
3604,1252
3605,1272
3606,1312
3607,1373
3608,1096
3609,1389
3610,1418
3611,1492
3612,1511
3613,1583
3614,1623
3615,1688
3616,1719
3617,1871
3618,1751
3619,1582
3620,1087
3621,1685
3622,1388
3623,1518
3624,1785
3625,1658
//高级
2590,1038
2591,1039
2592,1046
2593,1059
2594,1086
2595,1112
2596,1115
2597,1120
2598,1147
2599,1150
2600,1157
2601,1159
2602,1190
2603,1251
2604,1252
2605,1272
2606,1312
2607,1373
2608,1096
2609,1389
2610,1418
2611,1492
2612,1511
2613,1583
2614,1623
2615,1688
2616,1719
2617,1871
2618,1751
2619,1582
2620,1087
2621,1685
2622,1388
2623,1518
2624,1785
2625,1658
//究极
2490,1038
2491,1039
2492,1046
2493,1059
2494,1086
2495,1112
2496,1115
2497,1120
2498,1147
2499,1150
2500,1157
2501,1159
2502,1190
2503,1251
2504,1252
2505,1272
2506,1312
2507,1373
2508,1096
2509,1389
2510,1418
2511,1492
2512,1511
2513,1583
2514,1623
2515,1688
2516,1719
2517,1871
2518,1751
2519,1582
2520,1087
2521,1685
2522,1388
2523,1518
2524,1785
2525,1658
