// Monsters Additional Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
//道场
3500,dc1,俄塞里斯,Osiris,78,415400,0,71500,28600,1,780,2880,10,25,1,75,200,37,86,40,10,12,1,1,89,0x37B5,100,1072,672,384,35750,,,,,,,617,2000,675,100,969,2000,,,,,,,,,,,,,4144,20
3501,dc2,巴风特,Baphomet,81,668000,0,107250,37895,2,3220,4040,35,45,1,152,200,85,120,95,10,12,2,6,67,0x37B5,100,768,768,576,53625,,,,,,,675,100,969,2000,,,,,,,,,,,617,1000,,,4147,20
3502,dc3,死灵,Doppelganger,72,249000,0,51480,10725,1,1340,1590,60,35,88,90,200,35,125,65,10,12,1,6,67,0x37B5,100,480,480,288,25740,,,,,,,675,100,969,2000,,,,,,,,,,,617,1000,,,4142,20
3503,dc4,蜂后,Mistress,74,212000,0,39325,27170,1,880,1110,40,60,50,165,200,95,70,130,10,12,0,4,84,0x37B5,100,1148,648,300,19662,,,,,,,675,100,969,2000,617,1000,616,1000,,,,,,,,,,,4132,20
3504,dc5,黄金虫,Golden Thief Bug,99,126000,0,14300,7150,1,870,1145,60,45,65,75,200,45,85,150,10,12,2,4,43,0x11AB,100,768,768,480,7150,,,,,,,969,2000,617,1000,675,100,,,,,,,,,,,,,4128,1
3505,dc6,兽人英雄,Orc Hero,77,585700,0,58630,32890,1,2257,2542,40,45,1,91,200,70,105,90,10,12,2,7,42,0x37B5,150,1678,780,648,29315,,,,,,,675,100,969,2000,,,,,,,,,,,617,1000,,,4143,20
3506,dc7,海盗之王,Drake,70,326666,0,28600,22880,1,1800,2100,20,35,85,80,200,75,79,50,10,12,1,1,29,0x37B5,400,620,420,360,14300,,,,,,,675,100,969,2000,,,,,,,,,,,617,1000,,,4137,20
3507,dc8,虎王,Eddga,65,152000,0,25025,12870,1,1215,1565,15,15,78,70,200,66,90,85,10,12,2,2,23,0x37B5,300,872,1344,432,12512,,,,,,,617,1000,675,100,969,2000,,,,,,,,,,,,,4123,20
3508,dc9,蚁后,Maya,81,169000,0,42900,17875,1,1800,2070,60,25,95,97,200,95,82,105,10,12,2,4,82,0x37B5,100,864,1000,480,21450,,,,,,,675,100,969,2000,,,,,7020,100,,,,,,,,,4146,20
3509,dc10,月夜猫,Moonlight Flower,67,120000,0,27500,14300,1,1200,1700,10,55,55,99,200,82,95,120,10,12,1,6,63,0x37B5,150,1276,576,288,13750,,,,,,,675,100,969,2000,,,,,,,,,,,617,1000,,,4131,20
3510,dc11,法老王,Pharaoh,93,445997,0,114990,41899,1,2267,3015,67,70,1,93,200,104,89,112,10,12,2,7,67,0x37B5,125,868,768,288,57495,,,,,,,617,1000,675,100,969,2000,,,,,,,,,,,,,4148,20
3511,dc12,皮里恩,Phreeoni,69,188000,0,32175,16445,1,880,1530,10,20,1,85,200,35,130,60,10,12,2,2,60,0x37B5,200,1020,1020,288,16087,,,,,,,675,100,969,2000,,,,,,,,,,,617,1000,,,4121,20
3512,dc13,兽人酋长,Orc Lord,74,783000,0,62205,8580,1,3700,4150,40,5,85,82,200,70,110,85,10,12,2,7,82,0x37B5,100,1248,500,360,31102,,,,,,,617,1000,675,100,969,2000,,,,,,,,,,,,,4135,20
3513,dc14,黑暗之王,Dark Lord,80,720000,0,65780,45045,2,2800,3320,30,70,1,120,200,118,99,60,10,12,2,6,89,0x37B5,100,868,768,480,32890,,,,,,,617,1000,675,100,969,2000,,,,,,,,,,,,,4168,20
